Participante,Textos,Edições,Área,Categoria
Participante A,7,8,Outro,De 3 a 10 Edições
Participante B,1,5,Física,De 3 a 10 Edições
Participante C,1,2,Física,Menos que 3 Edições
Participante D,3,5,Física,De 3 a 10 Edições
Participante E,14,14,Física,Mais que 10 Edições
Participante F,1,1,Física,Menos que 3 Edições
Participante G,2,18,Outro,Mais que 10 Edições
Participante H,1,2,Física,Menos que 3 Edições
Participante I,12,17,Física,Mais que 10 Edições
Participante J,2,4,Física,De 3 a 10 Edições
Participante K,1,1,Física,Menos que 3 Edições
Participante L,0,5,Outro,De 3 a 10 Edições
Participante M,1,1,Outro,Menos que 3 Edições
Participante N,1,1,Física,Menos que 3 Edições
Participante O,0,3,Física,Menos que 3 Edições
Participante P,1,1,Física,Menos que 3 Edições
Participante Q,1,1,Física,Menos que 3 Edições
Participante R,0,9,Física,De 3 a 10 Edições
Participante S,8,10,Física,De 3 a 10 Edições
Participante T,1,1,Física,Menos que 3 Edições
Participante U,9,18,Física,Mais que 10 Edições
Participante V,11,17,Física,Mais que 10 Edições
Participante W,2,3,Outro,Menos que 3 Edições
Participante X,2,2,Outro,Menos que 3 Edições
Participante Y,3,3,Física,Menos que 3 Edições
Participante Z,1,1,Física,Menos que 3 Edições
Participante [,9,11,Física,Mais que 10 Edições
Participante \,0,8,Física,De 3 a 10 Edições
